ESTIMATE_SOURCE,PROGRAM,LOGISTICAL_AREA,PFMA,YEAR,MONTH,TYPE,PREFERRED_COMMON_NAME,HART_CD,ESTIMATE,STANDARD_ERROR,LINK,Include (20),Include (15)
Creel,Juan de Fuca,Victoria,Area 19 (JDF),2012,5,Released,CHINOOK SALMON,124,302,109.20,Creel-2012-5-Area 19 (JDF),Y,Y
Creel,Juan de Fuca,Juan de Fuca,Area 20 (East),2012,5,Kept,CHINOOK SALMON,124,424,122.00,Creel-2012-5-Area 20 (East),N,N
Creel,Juan de Fuca,Juan de Fuca,Area 20 (East),2012,5,Released,CHINOOK SALMON,124,146,88.52,Creel-2012-5-Area 20 (East),N,N
Creel,Barkley Sound,Barkley Sound,Area 23 (Barkley),2012,5,Kept,CHINOOK SALMON,124,8,0.00,Creel-2012-5-Area 23 (Barkley),N,N
Creel,Barkley Sound,Barkley Sound,Area 23 (Barkley),2012,5,Released,CHINOOK SALMON,124,0,0.00,Creel-2012-5-Area 23 (Barkley),N,N
Creel,Clayoquot Sound,Clayoquot Sound,Area 24,2012,5,Kept,CHINOOK SALMON,124,1,0.00,Creel-2012-5-Area 24,N,N
Creel,Clayoquot Sound,Clayoquot Sound,Area 24,2012,5,Released,CHINOOK SALMON,124,0,0.00,Creel-2012-5-Area 24,N,N
Creel,Georgia Strait,Howe Sound,Area 28,2012,5,Kept,CHINOOK SALMON,124,295,135.48,Creel-2012-5-Area 28,N,N
Creel,Georgia Strait,Howe Sound,Area 28,2012,5,Released,CHINOOK SALMON,124,94,60.53,Creel-2012-5-Area 28,N,N
Creel,Georgia Strait,Vancouver,Area 29,2012,5,Kept,CHINOOK SALMON,124,720,334.60,Creel-2012-5-Area 29,N,N
Creel,Georgia Strait,Vancouver,Area 29,2012,5,Released,CHINOOK SALMON,124,306,173.55,Creel-2012-5-Area 29,N,N
Historic Estimate,Haida Gwaii,Haida Gwaii,Area 2E,2012,5,Kept,CHINOOK SALMON,124,100,0.00,Historic Estimate-2012-5-Area 2E,#N/A,#N/A
Historic Estimate,Haida Gwaii,Haida Gwaii,Area 2E,2012,5,Released,CHINOOK SALMON,124,0,0.00,Historic Estimate-2012-5-Area 2E,#N/A,#N/A
Historic Estimate,Haida Gwaii,Haida Gwaii,Area 2W,2012,5,Kept,CHINOOK SALMON,124,150,0.00,Historic Estimate-2012-5-Area 2W,#N/A,#N/A
Historic Estimate,Haida Gwaii,Haida Gwaii,Area 2W,2012,5,Released,CHINOOK SALMON,124,0,0.00,Historic Estimate-2012-5-Area 2W,#N/A,#N/A
Historic Estimate,Haida Gwaii,PFMA 1,Area 1,2012,6,Kept,CHINOOK SALMON,124,6600,0.00,Historic Estimate-2012-6-Area 1,#N/A,#N/A
Historic Estimate,Haida Gwaii,PFMA 1,Area 1,2012,6,Released,CHINOOK SALMON,124,0,0.00,Historic Estimate-2012-6-Area 1,#N/A,#N/A
Creel,Johnstone Strait,Queen Charlotte Sound,Area 11,2012,6,Kept,CHINOOK SALMON,124,606,244.47,Creel-2012-6-Area 11,N,N
Creel,Johnstone Strait,Queen Charlotte Sound,Area 11,2012,6,Released,CHINOOK SALMON,124,107,48.29,Creel-2012-6-Area 11,N,N
Creel,Johnstone Strait,Johnstone Strait,Area 12,2012,6,Kept,CHINOOK SALMON,124,774,132.55,Creel-2012-6-Area 12,N,N
Creel,Johnstone Strait,Johnstone Strait,Area 12,2012,6,Released,CHINOOK SALMON,124,1033,309.47,Creel-2012-6-Area 12,N,N
Creel,Renfrew/Swiftsure,Swiftsure Bank,Area 121,2012,6,Kept,CHINOOK SALMON,124,1157,231.09,Creel-2012-6-Area 121,N,N
Creel,Renfrew/Swiftsure,Swiftsure Bank,Area 121,2012,6,Released,CHINOOK SALMON,124,225,102.44,Creel-2012-6-Area 121,N,N
Creel,Barkley Sound,Offshore Barkley,Area 123,2012,6,Kept,CHINOOK SALMON,124,1941,290.24,Creel-2012-6-Area 123,N,N
