PFMA,YEAR,MONTH,TYPE,PREFERRED_COMMON_NAME,HART_CD,ESTIMATE,STANDARD_ERROR
Area 123,2016,7,Released,CHINOOK SALMON,124,2695,471.69
Area 124,2016,7,Kept,CHINOOK SALMON,124,3419,611.78
Area 124,2016,7,Released,CHINOOK SALMON,124,814,274.67
Area 125,2016,7,Kept,CHINOOK SALMON,124,1941,499.75
Area 125,2016,7,Released,CHINOOK SALMON,124,807,277.97
Area 127,2016,7,Kept,CHINOOK SALMON,124,448,86.70
Area 127,2016,7,Released,CHINOOK SALMON,124,222,86.70
Area 13,2016,7,Kept,CHINOOK SALMON,124,4913,575.08
Area 13,2016,7,Released,CHINOOK SALMON,124,7140,889.41
Area 14,2016,7,Kept,CHINOOK SALMON,124,881,238.90
Area 14,2016,7,Released,CHINOOK SALMON,124,4336,1109.22
Area 19 (JDF),2016,7,Kept,CHINOOK SALMON,124,135,50.47
Area 19 (JDF),2016,7,Released,CHINOOK SALMON,124,120,49.38
Area 20 (East),2016,7,Kept,CHINOOK SALMON,124,2827,326.85
Area 20 (East),2016,7,Released,CHINOOK SALMON,124,4253,773.53
Area 20 (West),2016,7,Kept,CHINOOK SALMON,124,1270,301.69
Area 20 (West),2016,7,Released,CHINOOK SALMON,124,2007,852.91
Area 21,2016,7,Kept,CHINOOK SALMON,124,94,46.21
Area 21,2016,7,Released,CHINOOK SALMON,124,19,31.68
Area 23 (Alberni Canal),2016,7,Kept,CHINOOK SALMON,124,0,0.00
Area 23 (Alberni Canal),2016,7,Released,CHINOOK SALMON,124,11,11.11
Area 23 (Barkley),2016,7,Kept,CHINOOK SALMON,124,1112,177.52
Area 23 (Barkley),2016,7,Released,CHINOOK SALMON,124,3332,585.06
Area 24,2016,7,Kept,CHINOOK SALMON,124,543,173.66
Area 24,2016,7,Released,CHINOOK SALMON,124,76,46.54
Area 25,2016,7,Kept,CHINOOK SALMON,124,4461,949.68
Area 25,2016,7,Released,CHINOOK SALMON,124,7511,2039.55
Area 27,2016,7,Kept,CHINOOK SALMON,124,1096,188.87
Area 27,2016,7,Released,CHINOOK SALMON,124,1280,308.29
Area 11,2016,8,Kept,CHINOOK SALMON,124,1435,291.37
Area 11,2016,8,Released,CHINOOK SALMON,124,496,135.84
Area 12,2016,8,Kept,CHINOOK SALMON,124,1893,214.83
Area 12,2016,8,Released,CHINOOK SALMON,124,2406,522.86
Area 121,2016,8,Kept,CHINOOK SALMON,124,2312,272.05
Area 121,2016,8,Released,CHINOOK SALMON,124,1055,299.34
Area 123,2016,8,Kept,CHINOOK SALMON,124,1422,317.04
Area 123,2016,8,Released,CHINOOK SALMON,124,1865,614.40
Area 124,2016,8,Kept,CHINOOK SALMON,124,4838,926.77
Area 124,2016,8,Released,CHINOOK SALMON,124,1926,506.78
Area 125,2016,8,Kept,CHINOOK SALMON,124,525,138.88
Area 125,2016,8,Released,CHINOOK SALMON,124,392,104.23
Area 127,2016,8,Kept,CHINOOK SALMON,124,319,73.47
Area 127,2016,8,Released,CHINOOK SALMON,124,99,35.24
Area 13,2016,8,Kept,CHINOOK SALMON,124,8570,1036.85
Area 13,2016,8,Released,CHINOOK SALMON,124,4504,728.87
Area 14,2016,8,Kept,CHINOOK SALMON,124,1032,173.65
Area 14,2016,8,Released,CHINOOK SALMON,124,3891,621.69
Area 19 (JDF),2016,8,Kept,CHINOOK SALMON,124,549,101.19
Area 19 (JDF),2016,8,Released,CHINOOK SALMON,124,664,135.48
Area 20 (East),2016,8,Kept,CHINOOK SALMON,124,5336,507.04
Area 20 (East),2016,8,Released,CHINOOK SALMON,124,5248,760.35
Area 20 (West),2016,8,Kept,CHINOOK SALMON,124,4720,470.73
Area 20 (West),2016,8,Released,CHINOOK SALMON,124,3290,537.60
Area 21,2016,8,Kept,CHINOOK SALMON,124,1073,340.13
Area 21,2016,8,Released,CHINOOK SALMON,124,98,70.94
Area 23 (Alberni Canal),2016,8,Kept,CHINOOK SALMON,124,1414,231.41
Area 23 (Alberni Canal),2016,8,Released,CHINOOK SALMON,124,158,81.52
Area 23 (Barkley),2016,8,Kept,CHINOOK SALMON,124,8030,632.38
Area 23 (Barkley),2016,8,Released,CHINOOK SALMON,124,6097,866.79
Area 24,2016,8,Kept,CHINOOK SALMON,124,115,32.04
Area 24,2016,8,Released,CHINOOK SALMON,124,81,35.42
Area 25,2016,8,Kept,CHINOOK SALMON,124,2316,439.70
Area 25,2016,8,Released,CHINOOK SALMON,124,2775,486.79
Area 27,2016,8,Kept,CHINOOK SALMON,124,551,69.83
Area 27,2016,8,Released,CHINOOK SALMON,124,2091,273.71
Area 123,2016,9,Kept,CHINOOK SALMON,124,171,57.60
Area 123,2016,9,Released,CHINOOK SALMON,124,159,77.54
Area 124,2016,9,Kept,CHINOOK SALMON,124,172,30.78
Area 124,2016,9,Released,CHINOOK SALMON,124,171,48.22
Area 13,2016,9,Kept,CHINOOK SALMON,124,1288,453.12
Area 13,2016,9,Released,CHINOOK SALMON,124,2219,508.20
Area 14,2016,9,Kept,CHINOOK SALMON,124,930,191.95
Area 14,2016,9,Released,CHINOOK SALMON,124,3710,594.07
Area 19 (JDF),2016,9,Kept,CHINOOK SALMON,124,647,125.06
Area 19 (JDF),2016,9,Released,CHINOOK SALMON,124,306,166.27
Area 20 (East),2016,9,Kept,CHINOOK SALMON,124,2074,352.39
Area 20 (East),2016,9,Released,CHINOOK SALMON,124,2756,515.55
Area 20 (West),2016,9,Kept,CHINOOK SALMON,124,848,91.59
Area 20 (West),2016,9,Released,CHINOOK SALMON,124,771,207.25
Area 21,2016,9,Kept,CHINOOK SALMON,124,108,36.98
Area 21,2016,9,Released,CHINOOK SALMON,124,22,22.05
Area 23 (Alberni Canal),2016,9,Kept,CHINOOK SALMON,124,519,264.39
Area 23 (Alberni Canal),2016,9,Released,CHINOOK SALMON,124,1186,554.85
Area 23 (Barkley),2016,9,Kept,CHINOOK SALMON,124,2665,520.84
Area 23 (Barkley),2016,9,Released,CHINOOK SALMON,124,5661,2263.29
Area 24,2016,9,Kept,CHINOOK SALMON,124,50,20.04
Area 24,2016,9,Released,CHINOOK SALMON,124,28,24.93
Area 19 (GS),2017,3,Kept,CHINOOK SALMON,124,9,5.07
Area 19 (GS),2017,3,Released,CHINOOK SALMON,124,17,14.42
Area 19 (JDF),2017,3,Kept,CHINOOK SALMON,124,325,83.31
Area 19 (JDF),2017,3,Released,CHINOOK SALMON,124,98,38.36
Area 20 (East),2017,3,Kept,CHINOOK SALMON,124,270,98.06
Area 20 (East),2017,3,Released,CHINOOK SALMON,124,24,11.79
Area 19 (JDF),2017,4,Kept,CHINOOK SALMON,124,342,113.78
Area 19 (JDF),2017,4,Released,CHINOOK SALMON,124,551,213.62
Area 20 (East),2017,4,Kept,CHINOOK SALMON,124,496,157.92
Area 20 (East),2017,4,Released,CHINOOK SALMON,124,467,220.49
Area 13,2017,5,Kept,CHINOOK SALMON,124,537,131.46
Area 13,2017,5,Released,CHINOOK SALMON,124,412,113.45
Area 14,2017,5,Kept,CHINOOK SALMON,124,1729,573.84
Area 14,2017,5,Released,CHINOOK SALMON,124,2682,1032.02
Area 17,2017,5,Kept,CHINOOK SALMON,124,1485,286.06
Area 17,2017,5,Released,CHINOOK SALMON,124,3132,871.38
Area 18,2017,5,Kept,CHINOOK SALMON,124,283,153.05
Area 18,2017,5,Released,CHINOOK SALMON,124,127,44.92
Area 19 (GS),2017,5,Kept,CHINOOK SALMON,124,7,7.17
Area 19 (GS),2017,5,Released,CHINOOK SALMON,124,4,5.07
Area 19 (JDF),2017,5,Kept,CHINOOK SALMON,124,511,176.13
Area 19 (JDF),2017,5,Released,CHINOOK SALMON,124,285,116.17
Area 20 (East),2017,5,Kept,CHINOOK SALMON,124,313,107.93
Area 20 (East),2017,5,Released,CHINOOK SALMON,124,76,31.13
Area 20 (West),2017,5,Kept,CHINOOK SALMON,124,8,7.59
Area 20 (West),2017,5,Released,CHINOOK SALMON,124,0,0.00
Area 28,2017,5,Kept,CHINOOK SALMON,124,28,9.15
Area 28,2017,5,Released,CHINOOK SALMON,124,397,230.14
Area 29,2017,5,Kept,CHINOOK SALMON,124,2390,1283.68
Area 29,2017,5,Released,CHINOOK SALMON,124,1725,817.24
Area 11,2017,6,Kept,CHINOOK SALMON,124,1808,334.48
Area 11,2017,6,Released,CHINOOK SALMON,124,565,346.40
Area 12,2017,6,Kept,CHINOOK SALMON,124,1931,315.50
Area 12,2017,6,Released,CHINOOK SALMON,124,5339,1097.62
Area 121,2017,6,Kept,CHINOOK SALMON,124,1213,216.05
Area 121,2017,6,Released,CHINOOK SALMON,124,1217,339.01
Area 123,2017,6,Kept,CHINOOK SALMON,124,807,374.26
Area 123,2017,6,Released,CHINOOK SALMON,124,678,232.76
Area 127,2017,6,Kept,CHINOOK SALMON,124,86,38.97
Area 127,2017,6,Released,CHINOOK SALMON,124,0,0.00
Area 13,2017,6,Kept,CHINOOK SALMON,124,4875,954.27
Area 13,2017,6,Released,CHINOOK SALMON,124,3834,817.09
Area 14,2017,6,Kept,CHINOOK SALMON,124,3367,568.60
Area 14,2017,6,Released,CHINOOK SALMON,124,3244,475.36
Area 17,2017,6,Kept,CHINOOK SALMON,124,458,119.04
Area 17,2017,6,Released,CHINOOK SALMON,124,1582,445.05
Area 18,2017,6,Kept,CHINOOK SALMON,124,184,61.79
Area 18,2017,6,Released,CHINOOK SALMON,124,138,61.40
Area 19 (GS),2017,6,Kept,CHINOOK SALMON,124,14,7.09
Area 19 (GS),2017,6,Released,CHINOOK SALMON,124,14,7.93
Area 19 (JDF),2017,6,Kept,CHINOOK SALMON,124,271,80.41
Area 19 (JDF),2017,6,Released,CHINOOK SALMON,124,111,48.31
Area 20 (East),2017,6,Kept,CHINOOK SALMON,124,1437,312.85
Area 20 (East),2017,6,Released,CHINOOK SALMON,124,1322,349.46
Area 20 (West),2017,6,Kept,CHINOOK SALMON,124,252,66.58
Area 20 (West),2017,6,Released,CHINOOK SALMON,124,288,112.77
Area 21,2017,6,Kept,CHINOOK SALMON,124,181,55.07
Area 21,2017,6,Released,CHINOOK SALMON,124,159,52.94
Area 23 (Barkley),2017,6,Kept,CHINOOK SALMON,124,2477,442.62
Area 23 (Barkley),2017,6,Released,CHINOOK SALMON,124,2563,884.37
Area 27,2017,6,Kept,CHINOOK SALMON,124,440,53.57
Area 27,2017,6,Released,CHINOOK SALMON,124,165,45.55
Area 28,2017,6,Kept,CHINOOK SALMON,124,235,88.24
Area 28,2017,6,Released,CHINOOK SALMON,124,195,84.36
Area 29,2017,6,Kept,CHINOOK SALMON,124,445,213.64
Area 29,2017,6,Released,CHINOOK SALMON,124,460,292.83
Area 11,2017,7,Kept,CHINOOK SALMON,124,1876,331.23
Area 11,2017,7,Released,CHINOOK SALMON,124,635,191.41
Area 12,2017,7,Kept,CHINOOK SALMON,124,2835,285.50
Area 12,2017,7,Released,CHINOOK SALMON,124,4081,600.60
Area 121,2017,7,Kept,CHINOOK SALMON,124,10577,1758.04
Area 121,2017,7,Released,CHINOOK SALMON,124,6070,1323.78
Area 123,2017,7,Kept,CHINOOK SALMON,124,7352,1147.88
Area 123,2017,7,Released,CHINOOK SALMON,124,5196,1125.22
Area 125,2017,7,Kept,CHINOOK SALMON,124,1968,413.17
Area 125,2017,7,Released,CHINOOK SALMON,124,633,171.06
Area 127,2017,7,Kept,CHINOOK SALMON,124,1416,224.81
Area 127,2017,7,Released,CHINOOK SALMON,124,306,105.90
Area 13,2017,7,Kept,CHINOOK SALMON,124,6109,667.41
Area 13,2017,7,Released,CHINOOK SALMON,124,3940,612.16
Area 14,2017,7,Kept,CHINOOK SALMON,124,1899,418.49
Area 14,2017,7,Released,CHINOOK SALMON,124,5487,1366.30
Area 17,2017,7,Kept,CHINOOK SALMON,124,516,95.22
Area 17,2017,7,Released,CHINOOK SALMON,124,5233,1349.18
Area 18,2017,7,Kept,CHINOOK SALMON,124,280,115.14
Area 18,2017,7,Released,CHINOOK SALMON,124,228,77.01
Area 19 (GS),2017,7,Kept,CHINOOK SALMON,124,5,5.65
Area 19 (GS),2017,7,Released,CHINOOK SALMON,124,10,11.30
Area 19 (JDF),2017,7,Kept,CHINOOK SALMON,124,397,81.30
Area 19 (JDF),2017,7,Released,CHINOOK SALMON,124,244,69.52
Area 20 (East),2017,7,Kept,CHINOOK SALMON,124,1971,231.71
Area 20 (East),2017,7,Released,CHINOOK SALMON,124,3653,723.74
Area 20 (West),2017,7,Kept,CHINOOK SALMON,124,1986,183.30
Area 20 (West),2017,7,Released,CHINOOK SALMON,124,1780,471.93
Area 21,2017,7,Kept,CHINOOK SALMON,124,250,99.03
Area 21,2017,7,Released,CHINOOK SALMON,124,0,0.00
Area 23 (Alberni Canal),2017,7,Kept,CHINOOK SALMON,124,16,17.35
Area 23 (Alberni Canal),2017,7,Released,CHINOOK SALMON,124,0,0.00
Area 23 (Barkley),2017,7,Kept,CHINOOK SALMON,124,1252,164.11
Area 23 (Barkley),2017,7,Released,CHINOOK SALMON,124,6933,1332.84
Area 25,2017,7,Kept,CHINOOK SALMON,124,7161,763.80
Area 25,2017,7,Released,CHINOOK SALMON,124,2192,514.04
Area 27,2017,7,Kept,CHINOOK SALMON,124,1762,264.57
Area 27,2017,7,Released,CHINOOK SALMON,124,478,80.04
Area 28,2017,7,Kept,CHINOOK SALMON,124,129,65.49
Area 28,2017,7,Released,CHINOOK SALMON,124,67,32.08
Area 29,2017,7,Kept,CHINOOK SALMON,124,368,116.12
Area 29,2017,7,Released,CHINOOK SALMON,124,1098,446.47
Area 11,2017,8,Kept,CHINOOK SALMON,124,778,112.01
Area 11,2017,8,Released,CHINOOK SALMON,124,157,42.65
Area 12,2017,8,Kept,CHINOOK SALMON,124,4225,495.09
Area 12,2017,8,Released,CHINOOK SALMON,124,4511,847.43
Area 121,2017,8,Kept,CHINOOK SALMON,124,2463,441.18
Area 121,2017,8,Released,CHINOOK SALMON,124,1169,430.80
Area 123,2017,8,Kept,CHINOOK SALMON,124,4848,1153.61
Area 123,2017,8,Released,CHINOOK SALMON,124,4326,1146.29
Area 125,2017,8,Kept,CHINOOK SALMON,124,1414,150.42
Area 125,2017,8,Released,CHINOOK SALMON,124,489,130.64
Area 127,2017,8,Kept,CHINOOK SALMON,124,405,76.02
Area 127,2017,8,Released,CHINOOK SALMON,124,81,26.37
Area 13,2017,8,Kept,CHINOOK SALMON,124,9321,1104.29
Area 13,2017,8,Released,CHINOOK SALMON,124,11448,1817.86
Area 14,2017,8,Kept,CHINOOK SALMON,124,3662,1062.71
Area 14,2017,8,Released,CHINOOK SALMON,124,14105,2434.15
Area 19 (JDF),2017,8,Kept,CHINOOK SALMON,124,1399,170.89
Area 19 (JDF),2017,8,Released,CHINOOK SALMON,124,608,108.46
Area 20 (East),2017,8,Kept,CHINOOK SALMON,124,7170,690.71
Area 20 (East),2017,8,Released,CHINOOK SALMON,124,9200,1589.03
Area 20 (West),2017,8,Kept,CHINOOK SALMON,124,6758,437.63
Area 20 (West),2017,8,Released,CHINOOK SALMON,124,1722,271.43
Area 21,2017,8,Kept,CHINOOK SALMON,124,195,24.56
Area 21,2017,8,Released,CHINOOK SALMON,124,0,0.00
Area 23 (Alberni Canal),2017,8,Kept,CHINOOK SALMON,124,3874,418.55
Area 23 (Alberni Canal),2017,8,Released,CHINOOK SALMON,124,355,99.00
Area 23 (Barkley),2017,8,Kept,CHINOOK SALMON,124,9724,1198.68
Area 23 (Barkley),2017,8,Released,CHINOOK SALMON,124,6474,1186.72
Area 25,2017,8,Kept,CHINOOK SALMON,124,7706,491.79
Area 25,2017,8,Released,CHINOOK SALMON,124,3259,667.41
Area 27,2017,8,Kept,CHINOOK SALMON,124,850,87.75
Area 27,2017,8,Released,CHINOOK SALMON,124,789,176.43
Area 28,2017,8,Kept,CHINOOK SALMON,124,388,151.35
Area 28,2017,8,Released,CHINOOK SALMON,124,403,154.64
Area 29,2017,8,Kept,CHINOOK SALMON,124,2321,629.54
Area 29,2017,8,Released,CHINOOK SALMON,124,2733,784.70
Area 121,2017,9,Kept,CHINOOK SALMON,124,0,0.00
Area 121,2017,9,Released,CHINOOK SALMON,124,70,76.36
Area 123,2017,9,Kept,CHINOOK SALMON,124,53,43.85
Area 123,2017,9,Released,CHINOOK SALMON,124,0,0.00
Area 13,2017,9,Kept,CHINOOK SALMON,124,2208,617.65
Area 13,2017,9,Released,CHINOOK SALMON,124,4593,1253.68
Area 14,2017,9,Kept,CHINOOK SALMON,124,1181,262.98
Area 14,2017,9,Released,CHINOOK SALMON,124,4645,1111.08
Area 19 (JDF),2017,9,Kept,CHINOOK SALMON,124,366,93.91
Area 19 (JDF),2017,9,Released,CHINOOK SALMON,124,507,217.31
Area 20 (East),2017,9,Kept,CHINOOK SALMON,124,3127,427.41
Area 20 (East),2017,9,Released,CHINOOK SALMON,124,4287,905.80
Area 20 (West),2017,9,Kept,CHINOOK SALMON,124,1408,270.92
Area 20 (West),2017,9,Released,CHINOOK SALMON,124,610,165.11
Area 23 (Alberni Canal),2017,9,Kept,CHINOOK SALMON,124,1011,264.49
Area 23 (Alberni Canal),2017,9,Released,CHINOOK SALMON,124,287,211.50
Area 23 (Barkley),2017,9,Kept,CHINOOK SALMON,124,3329,514.31
Area 23 (Barkley),2017,9,Released,CHINOOK SALMON,124,2652,564.78
Area 28,2017,9,Kept,CHINOOK SALMON,124,1262,571.89
Area 28,2017,9,Released,CHINOOK SALMON,124,312,151.30
Area 29,2017,9,Kept,CHINOOK SALMON,124,3057,2263.61
Area 29,2017,9,Released,CHINOOK SALMON,124,3190,1732.47
Area 13,2017,10,Kept,CHINOOK SALMON,124,18,9.67
Area 13,2017,10,Released,CHINOOK SALMON,124,94,63.88
Area 14,2017,10,Kept,CHINOOK SALMON,124,4,3.30
Area 14,2017,10,Released,CHINOOK SALMON,124,81,89.52
Area 19 (GS),2017,10,Kept,CHINOOK SALMON,124,2,3.18
Area 19 (GS),2017,10,Released,CHINOOK SALMON,124,4,4.92
Area 19 (JDF),2017,10,Kept,CHINOOK SALMON,124,213,66.36
Area 19 (JDF),2017,10,Released,CHINOOK SALMON,124,420,166.80
Area 20 (East),2017,10,Kept,CHINOOK SALMON,124,159,61.45
Area 20 (East),2017,10,Released,CHINOOK SALMON,124,1235,476.06
Area 28,2017,10,Kept,CHINOOK SALMON,124,51,40.00
Area 28,2017,10,Released,CHINOOK SALMON,124,51,40.93
Area 29,2017,10,Kept,CHINOOK SALMON,124,0,0.00
Area 29,2017,10,Released,CHINOOK SALMON,124,235,153.25
Area 19 (JDF),2018,2,Kept,CHINOOK SALMON,124,362,200.49
Area 19 (JDF),2018,2,Released,CHINOOK SALMON,124,516,272.55
Area 20 (East),2018,2,Kept,CHINOOK SALMON,124,182,84.46
Area 20 (East),2018,2,Released,CHINOOK SALMON,124,637,325.56
Area 17,2018,3,Kept,CHINOOK SALMON,124,63,34.32
Area 17,2018,3,Released,CHINOOK SALMON,124,259,108.50
Area 18,2018,3,Kept,CHINOOK SALMON,124,299,144.97
Area 18,2018,3,Released,CHINOOK SALMON,124,1154,657.47
Area 19 (GS),2018,3,Kept,CHINOOK SALMON,124,68,37.05
Area 19 (GS),2018,3,Released,CHINOOK SALMON,124,222,167.03
Area 19 (JDF),2018,3,Kept,CHINOOK SALMON,124,228,62.15
Area 19 (JDF),2018,3,Released,CHINOOK SALMON,124,180,69.09
Area 20 (East),2018,3,Kept,CHINOOK SALMON,124,244,68.29
Area 20 (East),2018,3,Released,CHINOOK SALMON,124,329,130.83
Area 28,2018,3,Kept,CHINOOK SALMON,124,92,25.45
Area 28,2018,3,Released,CHINOOK SALMON,124,232,71.41
Area 29,2018,3,Kept,CHINOOK SALMON,124,464,130.89
Area 29,2018,3,Released,CHINOOK SALMON,124,1042,373.63
Area 19 (JDF),2018,4,Kept,CHINOOK SALMON,124,366,176.01
Area 19 (JDF),2018,4,Released,CHINOOK SALMON,124,24,15.16
Area 20 (East),2018,4,Kept,CHINOOK SALMON,124,204,113.02
Area 20 (East),2018,4,Released,CHINOOK SALMON,124,109,64.00
Area 19 (GS),2018,5,Kept,CHINOOK SALMON,124,61,33.91
Area 19 (GS),2018,5,Released,CHINOOK SALMON,124,0,0.00
Area 19 (JDF),2018,5,Kept,CHINOOK SALMON,124,1278,468.05
Area 19 (JDF),2018,5,Released,CHINOOK SALMON,124,554,265.40
Area 20 (East),2018,5,Kept,CHINOOK SALMON,124,354,78.76
Area 20 (East),2018,5,Released,CHINOOK SALMON,124,272,82.53
Area 11,2018,6,Kept,CHINOOK SALMON,124,2292,414.29
Area 11,2018,6,Released,CHINOOK SALMON,124,784,198.53
Area 12,2018,6,Kept,CHINOOK SALMON,124,2181,248.27
Area 12,2018,6,Released,CHINOOK SALMON,124,3286,545.32
Area 121,2018,6,Kept,CHINOOK SALMON,124,2085,490.77
Area 121,2018,6,Released,CHINOOK SALMON,124,226,102.45
Area 123,2018,6,Kept,CHINOOK SALMON,124,1435,568.51
Area 123,2018,6,Released,CHINOOK SALMON,124,1180,607.70
Area 124,2018,6,Kept,CHINOOK SALMON,124,307,70.60
Area 124,2018,6,Released,CHINOOK SALMON,124,19,0.00
Area 127,2018,6,Kept,CHINOOK SALMON,124,236,36.56
Area 127,2018,6,Released,CHINOOK SALMON,124,0,0.00
Area 13,2018,6,Kept,CHINOOK SALMON,124,6116,1018.65
Area 13,2018,6,Released,CHINOOK SALMON,124,7200,1133.70
Area 14,2018,6,Kept,CHINOOK SALMON,124,3031,573.65
Area 14,2018,6,Released,CHINOOK SALMON,124,4817,1292.49
Area 17,2018,6,Kept,CHINOOK SALMON,124,827,245.27
Area 17,2018,6,Released,CHINOOK SALMON,124,2343,850.25
Area 18,2018,6,Kept,CHINOOK SALMON,124,32,17.95
Area 18,2018,6,Released,CHINOOK SALMON,124,21,21.27
Area 19 (JDF),2018,6,Kept,CHINOOK SALMON,124,305,98.32
Area 19 (JDF),2018,6,Released,CHINOOK SALMON,124,378,240.16
Area 20 (East),2018,6,Kept,CHINOOK SALMON,124,1950,368.17
Area 20 (East),2018,6,Released,CHINOOK SALMON,124,1116,314.92
Area 20 (West),2018,6,Kept,CHINOOK SALMON,124,658,156.44
Area 20 (West),2018,6,Released,CHINOOK SALMON,124,769,271.07
Area 21,2018,6,Kept,CHINOOK SALMON,124,396,186.91
Area 21,2018,6,Released,CHINOOK SALMON,124,3,9.60
Area 23 (Alberni Canal),2018,6,Kept,CHINOOK SALMON,124,45,30.97
Area 23 (Alberni Canal),2018,6,Released,CHINOOK SALMON,124,12,12.54
Area 23 (Barkley),2018,6,Kept,CHINOOK SALMON,124,6451,877.41
Area 23 (Barkley),2018,6,Released,CHINOOK SALMON,124,15736,2204.43
Area 24,2018,6,Kept,CHINOOK SALMON,124,435,102.51
Area 24,2018,6,Released,CHINOOK SALMON,124,151,92.59
Area 27,2018,6,Kept,CHINOOK SALMON,124,318,58.03
Area 27,2018,6,Released,CHINOOK SALMON,124,134,47.42
Area 28,2018,6,Kept,CHINOOK SALMON,124,30,21.15
Area 28,2018,6,Released,CHINOOK SALMON,124,139,66.26
Area 29,2018,6,Kept,CHINOOK SALMON,124,436,126.58
Area 29,2018,6,Released,CHINOOK SALMON,124,1536,488.57
Area 11,2018,7,Kept,CHINOOK SALMON,124,1589,269.87
Area 11,2018,7,Released,CHINOOK SALMON,124,471,210.98
Area 12,2018,7,Kept,CHINOOK SALMON,124,4205,306.92
Area 12,2018,7,Released,CHINOOK SALMON,124,7393,720.80
Area 121,2018,7,Kept,CHINOOK SALMON,124,5561,918.36
Area 121,2018,7,Released,CHINOOK SALMON,124,976,382.60
Area 123,2018,7,Kept,CHINOOK SALMON,124,4736,765.91
Area 123,2018,7,Released,CHINOOK SALMON,124,2758,456.57
Area 124,2018,7,Kept,CHINOOK SALMON,124,2218,799.89
Area 124,2018,7,Released,CHINOOK SALMON,124,807,423.07
Area 125,2018,7,Kept,CHINOOK SALMON,124,986,243.92
Area 125,2018,7,Released,CHINOOK SALMON,124,132,45.32
Area 127,2018,7,Kept,CHINOOK SALMON,124,756,127.40
Area 127,2018,7,Released,CHINOOK SALMON,124,112,43.46
Area 13,2018,7,Kept,CHINOOK SALMON,124,7889,654.20
Area 13,2018,7,Released,CHINOOK SALMON,124,9008,1162.57
Area 14,2018,7,Kept,CHINOOK SALMON,124,2169,265.34
Area 14,2018,7,Released,CHINOOK SALMON,124,4586,1055.44
Area 17,2018,7,Kept,CHINOOK SALMON,124,842,289.52
Area 17,2018,7,Released,CHINOOK SALMON,124,2587,1170.71
Area 18,2018,7,Kept,CHINOOK SALMON,124,124,36.95
Area 18,2018,7,Released,CHINOOK SALMON,124,170,69.04
Area 19 (GS),2018,7,Kept,CHINOOK SALMON,124,35,28.27
Area 19 (GS),2018,7,Released,CHINOOK SALMON,124,90,60.31
Area 19 (JDF),2018,7,Kept,CHINOOK SALMON,124,805,180.95
Area 19 (JDF),2018,7,Released,CHINOOK SALMON,124,1217,747.77
Area 20 (East),2018,7,Kept,CHINOOK SALMON,124,4848,585.98
Area 20 (East),2018,7,Released,CHINOOK SALMON,124,13448,2258.65
Area 20 (West),2018,7,Kept,CHINOOK SALMON,124,1746,176.43
Area 20 (West),2018,7,Released,CHINOOK SALMON,124,1385,303.70
Area 21,2018,7,Kept,CHINOOK SALMON,124,646,290.56
Area 21,2018,7,Released,CHINOOK SALMON,124,200,463.40
Area 23 (Alberni Canal),2018,7,Kept,CHINOOK SALMON,124,40,16.15
Area 23 (Alberni Canal),2018,7,Released,CHINOOK SALMON,124,33,15.31
Area 23 (Barkley),2018,7,Kept,CHINOOK SALMON,124,3739,396.37
Area 23 (Barkley),2018,7,Released,CHINOOK SALMON,124,21935,2816.65
Area 24,2018,7,Kept,CHINOOK SALMON,124,1872,497.01
Area 24,2018,7,Released,CHINOOK SALMON,124,658,394.16
Area 25,2018,7,Kept,CHINOOK SALMON,124,3959,684.74
Area 25,2018,7,Released,CHINOOK SALMON,124,3551,718.45
Area 27,2018,7,Kept,CHINOOK SALMON,124,934,125.12
Area 27,2018,7,Released,CHINOOK SALMON,124,513,113.12
Area 28,2018,7,Kept,CHINOOK SALMON,124,0,0.00
Area 28,2018,7,Released,CHINOOK SALMON,124,50,22.84
Area 29,2018,7,Kept,CHINOOK SALMON,124,246,115.14
Area 29,2018,7,Released,CHINOOK SALMON,124,278,158.27
Area 11,2018,8,Kept,CHINOOK SALMON,124,919,235.57
Area 11,2018,8,Released,CHINOOK SALMON,124,282,148.31
Area 12,2018,8,Kept,CHINOOK SALMON,124,2161,237.94
Area 12,2018,8,Released,CHINOOK SALMON,124,2980,489.86
Area 121,2018,8,Kept,CHINOOK SALMON,124,1336,387.25
Area 121,2018,8,Released,CHINOOK SALMON,124,364,185.56
Area 123,2018,8,Kept,CHINOOK SALMON,124,6737,1024.11
Area 123,2018,8,Released,CHINOOK SALMON,124,8286,2465.87
Area 125,2018,8,Kept,CHINOOK SALMON,124,167,46.54
Area 125,2018,8,Released,CHINOOK SALMON,124,8,2.63
Area 127,2018,8,Kept,CHINOOK SALMON,124,452,143.55
Area 127,2018,8,Released,CHINOOK SALMON,124,182,88.97
Area 13,2018,8,Kept,CHINOOK SALMON,124,9017,1035.14
Area 13,2018,8,Released,CHINOOK SALMON,124,12283,1915.94
Area 14,2018,8,Kept,CHINOOK SALMON,124,2669,409.65
Area 14,2018,8,Released,CHINOOK SALMON,124,4935,778.11
Area 17,2018,8,Kept,CHINOOK SALMON,124,457,99.56
Area 17,2018,8,Released,CHINOOK SALMON,124,3139,576.84
Area 18,2018,8,Kept,CHINOOK SALMON,124,149,37.32
Area 18,2018,8,Released,CHINOOK SALMON,124,204,51.25
Area 19 (GS),2018,8,Kept,CHINOOK SALMON,124,0,0.59
