PFMA,YEAR,MONTH,TYPE,PREFERRED_COMMON_NAME,HART_CD,ESTIMATE,STANDARD_ERROR
Area 23 (Alberni Canal),2012,8,Kept,CHINOOK SALMON,124,7026,450.88
Area 23 (Alberni Canal),2012,8,Released,CHINOOK SALMON,124,206,58.57
Area 23 (Barkley),2012,8,Kept,CHINOOK SALMON,124,4134,495.17
Area 23 (Barkley),2012,8,Released,CHINOOK SALMON,124,596,159.12
Area 24,2012,8,Kept,CHINOOK SALMON,124,82,39.14
Area 24,2012,8,Released,CHINOOK SALMON,124,312,115.25
Area 25,2012,8,Kept,CHINOOK SALMON,124,5889,1273.65
Area 25,2012,8,Released,CHINOOK SALMON,124,5539,1126.15
Area 27,2012,8,Kept,CHINOOK SALMON,124,694,110.95
Area 27,2012,8,Released,CHINOOK SALMON,124,717,112.53
Area 28,2012,8,Kept,CHINOOK SALMON,124,155,60.28
Area 28,2012,8,Released,CHINOOK SALMON,124,982,487.93
Area 29,2012,8,Kept,CHINOOK SALMON,124,491,114.92
Area 29,2012,8,Released,CHINOOK SALMON,124,3218,1185.07
Area 3,2012,8,Kept,CHINOOK SALMON,124,228,37.15
Area 3,2012,8,Released,CHINOOK SALMON,124,35,12.38
Area 4,2012,8,Kept,CHINOOK SALMON,124,319,32.48
Area 4,2012,8,Released,CHINOOK SALMON,124,20,5.96
Area 121,2012,9,Kept,CHINOOK SALMON,124,12,10.25
Area 121,2012,9,Released,CHINOOK SALMON,124,0,0.00
Area 123,2012,9,Kept,CHINOOK SALMON,124,857,174.27
Area 123,2012,9,Released,CHINOOK SALMON,124,747,348.97
Area 124,2012,9,Kept,CHINOOK SALMON,124,114,64.20
Area 124,2012,9,Released,CHINOOK SALMON,124,58,40.60
Area 13,2012,9,Kept,CHINOOK SALMON,124,1111,331.40
Area 13,2012,9,Released,CHINOOK SALMON,124,3810,1554.36
Area 14,2012,9,Kept,CHINOOK SALMON,124,297,145.94
Area 14,2012,9,Released,CHINOOK SALMON,124,3296,1422.25
Area 17,2012,9,Kept,CHINOOK SALMON,124,8,6.81
Area 17,2012,9,Released,CHINOOK SALMON,124,1136,332.33
Area 18,2012,9,Kept,CHINOOK SALMON,124,0,0.00
Area 18,2012,9,Released,CHINOOK SALMON,124,137,61.64
Area 19 (GS),2012,9,Kept,CHINOOK SALMON,124,0,0.00
Area 19 (GS),2012,9,Released,CHINOOK SALMON,124,1,1.82
Area 19 (JDF),2012,9,Kept,CHINOOK SALMON,124,447,157.95
Area 19 (JDF),2012,9,Released,CHINOOK SALMON,124,679,209.87
Area 20 (East),2012,9,Kept,CHINOOK SALMON,124,1124,363.30
Area 20 (East),2012,9,Released,CHINOOK SALMON,124,638,204.81
Area 20 (West),2012,9,Kept,CHINOOK SALMON,124,700,74.87
Area 20 (West),2012,9,Released,CHINOOK SALMON,124,106,42.89
Area 23 (Alberni Canal),2012,9,Kept,CHINOOK SALMON,124,886,128.08
Area 23 (Alberni Canal),2012,9,Released,CHINOOK SALMON,124,16,14.74
Area 23 (Barkley),2012,9,Kept,CHINOOK SALMON,124,435,184.27
Area 23 (Barkley),2012,9,Released,CHINOOK SALMON,124,259,127.16
Area 24,2012,9,Kept,CHINOOK SALMON,124,0,0.00
Area 24,2012,9,Released,CHINOOK SALMON,124,163,63.54
Area 28,2012,9,Kept,CHINOOK SALMON,124,239,79.99
Area 28,2012,9,Released,CHINOOK SALMON,124,310,101.32
Area 29,2012,9,Kept,CHINOOK SALMON,124,77,56.25
Area 29,2012,9,Released,CHINOOK SALMON,124,391,157.67
Area 19 (JDF),2013,3,Kept,CHINOOK SALMON,124,231,71.49
Area 19 (JDF),2013,3,Released,CHINOOK SALMON,124,170,97.23
Area 20 (East),2013,3,Kept,CHINOOK SALMON,124,72,24.31
Area 20 (East),2013,3,Released,CHINOOK SALMON,124,54,26.65
Area 19 (JDF),2013,4,Kept,CHINOOK SALMON,124,60,32.42
Area 19 (JDF),2013,4,Released,CHINOOK SALMON,124,79,38.23
Area 20 (East),2013,4,Kept,CHINOOK SALMON,124,12,8.13
Area 20 (East),2013,4,Released,CHINOOK SALMON,124,29,18.90
Area 19 (JDF),2013,5,Kept,CHINOOK SALMON,124,252,56.57
Area 19 (JDF),2013,5,Released,CHINOOK SALMON,124,69,31.14
Area 20 (East),2013,5,Kept,CHINOOK SALMON,124,68,28.51
Area 20 (East),2013,5,Released,CHINOOK SALMON,124,31,21.96
Area 20 (West),2013,5,Kept,CHINOOK SALMON,124,35,30.52
Area 20 (West),2013,5,Released,CHINOOK SALMON,124,0,0.00
Area 11,2013,6,Kept,CHINOOK SALMON,124,1107,314.26
Area 11,2013,6,Released,CHINOOK SALMON,124,193,65.50
Area 12,2013,6,Kept,CHINOOK SALMON,124,446,89.19
